idstock,stock_name,stock_idname,stock_awal,stock_order,stock_akhir,stock_date,stock_author,stock_status,stock_keterangan
334,"variant",53,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
335,"variant",54,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
336,"variant",137,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
337,"variant",138,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
338,"variant",56,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
339,"variant",57,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
340,"variant",141,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
341,"variant",142,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
342,"variant",58,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
343,"variant",60,7.5000000000000000e+02,1.0000000000000000e+03,7.6000000000000000e+04,"2007-03-28","admin",1,
344,"variant",59,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
345,"variant",98,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
346,"variant",62,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
347,"variant",143,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
348,"variant",63,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
349,"variant",112,1.0000000000000000e+04,1.0000000000000000e+03,1.0010000000000000e+01,"2007-03-28","admin",1,
350,"variant",145,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
351,"variant",101,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
352,"variant",144,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
353,"variant",147,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
354,"variant",65,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
355,"variant",66,1.5000000000000000e+02,1.0000000000000000e+03,1.6000000000000000e+04,"2007-03-28","admin",1,
356,"variant",64,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
357,"variant",68,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
358,"variant",96,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
359,"variant",70,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
360,"variant",103,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
361,"variant",100,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
362,"variant",148,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
363,"variant",104,1.0000000000000000e+02,1.0000000000000000e+03,1.1000000000000000e+04,"2007-03-28","admin",1,
364,"variant",149,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
365,"variant",73,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
366,"variant",74,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
367,"variant",150,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
368,"variant",76,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
369,"variant",151,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
370,"variant",91,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
