idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
142,"FRB","FRB MAN",2.0000000000000000e+03,2.5500000000000000e+02,"2007-05-10","OLLA",5.8605500000000000e+04,"2007-03-28","admin"
143,"INM","INM MAN",2.5000000000000000e+03,2.7880000000000001e+02,"2007-05-10","OLLA",5.5228500000000000e+04,"2007-03-28","admin"
144,"JSS","JSS MAN",2.0000000000000000e+03,2.2950000000000000e+02,"2007-05-10","OLLA",2.9824000000000000e+04,"2007-03-28","admin"
145,"JGB","JGB MAN",3.0000000000000000e+03,2.6200000000000000e+02,"2007-05-10","OLLA",5.1669500000000000e+04,"2007-03-28","admin"
146,"KLM","KLM MAN",2.5000000000000000e+03,1.7400000000000000e+02,"2007-05-10","OLLA",3.9866000000000000e+04,"2007-03-28","admin"
147,"KB","KB MAN",2.5000000000000000e+03,4.0000000000000000e+01,"2007-05-10","OLLA",2.2000000000000000e+02,"2007-05-10","OLLA"
148,"NTE","NTE MAN",2.0000000000000000e+03,1.9200000000000000e+02,"2007-05-10","OLLA",7.8736000000000000e+04,"2007-03-28","admin"
150,"PSM","PSM MAN",2.0000000000000000e+03,2.3400000000000000e+02,"2007-05-09","admin",7.7435000000000000e+04,"2007-03-28","admin"
151,"RUG","RUG MAN",2.5000000000000000e+03,2.6719999999999999e+02,"2007-05-10","OLLA",3.0862000000000000e+04,"2007-03-28","admin"
152,"SNT","SNT MAN",2.5000000000000000e+03,1.5519999999999999e+02,"2007-05-10","OLLA",3.5650000000000000e+04,"2007-03-28","admin"
153,"SOL","SOL MAN",2.5000000000000000e+03,1.6420000000000002e+02,"2007-05-10","OLLA",5.1010000000000000e+04,"2007-03-28","admin"
154,"X3","X3 MAN",3.0000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",5.6996000000000000e+04,"2007-03-28","admin"
155,"222","222 MAN",3.0000000000000000e+03,2.8250000000000000e+02,"2007-05-10","OLLA",3.8682900000000001e+04,"2007-03-28","admin"
156,"SLM","SLM MAN",3.0000000000000000e+03,0.0000000000000000e+00,"2007-05-10","OLLA",2.0948000000000000e+04,"2007-03-28","admin"
158,"ACD","ACD WOMAN",2.5000000000000000e+03,2.3400000000000000e+02,"2007-05-10","OLLA",2.5500000000000000e+02,"2007-03-31","admin"
159,"RIR","RIR WOMAN",2.5000000000000000e+03,2.0200000000000000e+02,"2007-05-10","OLLA",1.9950000000000000e+02,"2007-03-31","admin"
160,"BLD","BLD WOMAN",2.5000000000000000e+03,2.0700000000000000e+02,"2007-05-10","OLLA",1.7750000000000000e+02,"2007-03-31","admin"
161,"BPS","BPS WOMAN",2.5000000000000000e+03,2.2900000000000000e+02,"2007-03-31","admin",0.0000000000000000e+00,"2007-03-31","admin"
162,"MGT","MGT WOMAN",2.5000000000000000e+03,2.4100000000000000e+02,"2007-03-31","admin",0.0000000000000000e+00,"2007-03-31","admin"
163,"ADW","ADW WOMAN",2.5000000000000000e+03,1.6250000000000000e+02,"2007-05-10","OLLA",1.7000000000000000e+02,"2007-03-31","admin"
43,"BBL","BBL WOMAN",2.5000000000000000e+03,2.1160000000000002e+02,"2007-05-10","OLLA",1.1752500000000000e+04,"2007-03-28","admin"
76,"RSH","RSH WOMAN",2.5000000000000000e+03,3.8000000000000000e+01,"2007-05-10","OLLA",3.0949000000000000e+04,"2007-03-28","admin"
98,"GUM","GUM OTHER",2.0000000000000000e+03,2.5450000000000000e+02,"2007-05-10","OLLA",8.9872500000000000e+04,"2007-03-28","admin"
121,"BTL","BTL MAN",2.5000000000000000e+03,2.0600000000000000e+02,"2007-05-10","OLLA",4.9707500000000000e+04,"2007-03-28","admin"
114,"BDS-M","BDS-M MAN",2.0000000000000000e+03,1.8200000000000000e+02,"2007-05-10","OLLA",3.0955000000000000e+04,"2007-03-28","admin"
45,"BFM","BFM WOMAN",2.0000000000000000e+03,0.0000000000000000e+00,"2007-05-10","OLLA",2.9464000000000000e+04,"2007-03-28","admin"
125,"CHM","CHM MAN",2.5000000000000000e+03,4.9400000000000000e+02,"2007-05-10","OLLA",3.9539999999999998e+02,"2007-03-28","admin"
